Lunes,Martes,Miercoles,Jueves,Viernes,Sabado,Domingo
73.19472578,67.72744266,73.57439555,71.89323707,76.51151508,77.2929092,73.00656523
66.86568237,66.32942529,49.98421233,70.40915754,63.31151284,51.41634567,75.0873339
76.53189466,64.69854071,57.07357528,67.77373834,62.87740497,62.34706209,60.42971041
76.73937592,66.67614085,67.14112974,74.62548443,64.76820887,76.40763659,64.20016189
41.00362917,73.36133508,75.55597321,45.409655,61.64305265,39.76052372,45.40151143
77.54402932,59.69130147,59.75087963,58.83019191,76.63328191,77.03848052,60.90816842
61.31849693,69.22154384,57.87681965,55.12374441,61.44779534,59.54830484,77.026639
44.6022142,69.08478536,73.87345579,75.64719581,73.88010737,40.00786258,76.74887783
69.56365844,67.23759,75.03876504,68.8783159,51.72206532,73.559807,65.22042757
68.98156536,65.2034987,61.03015647,22.8253157,72.50919494,74.76016018,70.65549974
66.98431223,66.2053013,67.82689399,52.17986177,71.24160421,30.81715573,66.14804571
65.69829136,63.17520901,46.25938558,57.09828394,76.86039442,69.39472017,52.19485823
72.44753466,65.77646065,30.17318222,73.33813447,58.88447102,71.5458959,74.97075755
71.37648568,72.45077556,74.67588273,48.85208987,45.78055832,62.86600292,62.36009857
73.16846968,75.95820239,72.61113659,66.66634082,55.91790189,73.28614488,74.24099087
74.34876423,64.81333304,61.63993112,65.20926713,75.39015263,40.21031193,71.88644757
55.52979987,41.94416555,77.57135626,75.4487424,45.3380912,26.82967982,72.96297046
67.60362791,39.14305808,72.31454253,37.39577013,51.93494799,78.35379305,61.65202641
63.20946023,57.20860562,50.08472483,78.53945677,38.93581827,67.47085506,71.80604605
67.21706546,79.38434163,67.57962588,57.57332479,70.99328793,69.886121,46.98481864
55.00898113,54.69457828,75.28408281,53.49918454,73.22276048,74.73889445,58.27318429
58.96942487,43.29264106,42.09559276,53.86119643,42.92702431,70.35082711,77.32920447
65.34971407,31.89814977,49.98386592,73.05155506,69.53087345,75.56913678,71.30409588
63.03846537,73.26101803,74.42777374,69.22891279,68.83483642,55.89148796,75.17819193
70.00048916,54.07865373,61.51965338,77.50272402,66.98621599,68.86739277,49.57637103
45.68663098,64.57240075,68.01905089,73.57181444,49.92008949,51.93758749,70.18467042
50.14826899,54.57787622,61.30972667,59.3569553,69.86009262,43.30947701,69.80514507
65.17516437,46.3723465,53.31757508,69.23598842,49.90947397,62.5366075,50.73706365
72.07189467,36.838685,66.66443676,61.2909977,61.25062334,52.28446495,44.98696738
77.92952332,60.04924691,75.77784553,66.00398703,56.76857416,73.12870392,43.46809982
64.99932033,52.6702415,56.65778822,73.80615131,54.14050678,78.74294462,66.15647419
68.50328472,43.66124346,79.00700873,74.14793318,66.25552077,57.51795951,63.86395753
73.00914414,75.33691091,82.97486826,76.76690994,81.01284989,60.34141682,67.79423691
74.87027405,55.61944496,77.42485758,32.57768719,77.53906778,85.88802063,49.81117869
54.59907484,61.1806514,79.59935065,64.30113669,75.71921182,88.8133917,65.27681436
57.8450784,67.98806453,63.56133122,80.47387046,85.82371151,65.92461961,76.58904466
67.25405145,42.94759363,57.64834869,63.03157194,65.33287594,38.32360417,83.72655484
84.54368497,73.09829848,61.81949689,73.63842406,75.15364722,79.87420841,70.24382857
58.01336572,69.17722962,82.82780608,69.94857637,81.10975651,72.17871056,87.37123376
71.72431566,84.58968213,58.1855635,36.00136945,66.47855986,78.11008761,56.30056233
84.15965722,48.75473476,87.62811243,74.01446056,80.37202301,76.60004958,80.82076026
7.472909619,78.21456845,56.87008756,66.69088096,78.07463457,71.25835694,69.2251924
58.96948263,58.46194989,65.49787185,53.82590313,81.61754544,86.65803777,65.52114094
60.24307378,62.31513138,85.78077813,57.20958152,74.00413482,70.60822195,64.96545922
80.47769552,62.77197924,78.61908888,42.26661349,76.79021783,84.55599083,56.29726954
71.79969969,75.95094671,80.95860462,60.38392909,54.90638628,56.12556169,42.70896374
61.40652495,74.00405684,67.34891062,78.69463663,64.51620469,64.88202637,73.64890885
48.23417587,78.11379606,68.27781761,82.7114497,76.95252467,71.1852047,70.52252418
69.33920901,59.04651383,72.30760287,70.67637273,68.78397393,67.48190823,66.94088333
62.87657557,73.44922976,62.71882344,72.70048783,60.8668842,64.43537041,71.84306706
63.35238826,56.86832433,64.03678574,72.89029866,64.88209971,66.41559936,65.27866218
67.42017495,70.28782794,69.64868201,73.1786461,62.80836635,68.18498433,68.67302851
70.98990072,70.95938411,64.79619172,72.52188136,73.72174458,69.88117162,68.36049694
71.69635736,64.46270357,72.80855349,73.30219296,69.76808681,72.75384083,65.28108781
61.59670713,70.18749993,71.19848751,69.84287804,70.47497077,69.47934684,64.46639385
57.62854713,67.78676044,72.41130721,71.18798475,72.32586933,72.57323212,65.7774431
66.31966373,71.19588375,63.33087006,64.75519722,68.01884363,62.89953343,65.20839663
70.40024847,72.8486662,58.06858475,70.51602946,72.941104,63.44944469,73.89730274
70.4041765,66.14710331,60.891241,67.96680804,73.16568229,65.80295817,67.76581463
66.33711418,69.21700912,70.29835753,71.84733143,68.12195209,66.61446348,68.02745759
72.36732394,61.38325573,73.09712092,71.43220461,68.79868599,67.86251082,58.72643388
71.41706131,60.62366177,63.12114874,62.69804521,72.75421672,67.34881579,66.0675328
58.16475162,65.31891152,69.29754306,68.46155933,73.4743944,63.85301385,59.51709739
73.42309681,70.60671269,72.01747716,73.61843748,62.72596093,66.35263636,67.52496581